epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,316.454,0.54553,3.21244,1.04563,0.00751,1,0.18603,0.1275,0.39221,3.19315,0.59404,0.000837323,0.000279108,0.000837323,0.000279108,0.000837323,0.000279108,0.000837323,0.000279108
31,325.301,0.54924,3.13929,0.92259,0.00751,1,0.18603,0.1275,0.39221,3.19315,0.59404,0.000825451,0.00027515,0.000825451,0.00027515,0.000825451,0.00027515,0.000825451,0.00027515
32,335.138,1.3677,3.5877,1.60182,0.00755,1,0.16886,0.1164,0.38683,3.18805,0.58997,0.000810939,0.000270313,0.000810939,0.000270313,0.000810939,0.000270313,0.000810939,0.000270313
33,344.882,0.56118,3.14138,0.94252,0.00754,1,0.15143,0.11222,0.37355,3.18251,0.58408,0.000793787,0.000264596,0.000793787,0.000264596,0.000793787,0.000264596,0.000793787,0.000264596
34,353.493,0.46324,3.13005,1.02331,0.00754,1,0.15143,0.11222,0.37355,3.18251,0.58408,0.000773996,0.000257999,0.000773996,0.000257999,0.000773996,0.000257999,0.000773996,0.000257999
35,363.544,0.43772,3.1925,0.93358,0.00736,1,0.13982,0.1104,0.36396,3.17697,0.57997,0.000751565,0.000250522,0.000751565,0.000250522,0.000751565,0.000250522,0.000751565,0.000250522
36,373.657,0.37649,3.13098,0.91455,0.00731,1,0.18975,0.15625,0.3555,3.16991,0.57649,0.000726494,0.000242165,0.000726494,0.000242165,0.000726494,0.000242165,0.000726494,0.000242165
37,382.819,0.40522,3.21064,0.95323,0.00731,1,0.18975,0.15625,0.3555,3.16991,0.57649,0.000698783,0.000232928,0.000698783,0.000232928,0.000698783,0.000232928,0.000698783,0.000232928
38,393.216,0.33535,3.24017,0.96422,0.00724,1,0.19523,0.16607,0.34793,3.16131,0.56519,0.000668433,0.000222811,0.000668433,0.000222811,0.000668433,0.000222811,0.000668433,0.000222811
39,403.388,0.33538,3.10275,0.92729,0.00719,1,0.18375,0.15846,0.33503,3.15344,0.5575,0.000635443,0.000211814,0.000635443,0.000211814,0.000635443,0.000211814,0.000635443,0.000211814
40,412.236,0.81336,3.45769,1.15238,0.00719,1,0.18375,0.15846,0.33503,3.15344,0.5575,0.000599813,0.000199938,0.000599813,0.000199938,0.000599813,0.000199938,0.000599813,0.000199938
41,421.942,0.50903,4.09077,0.99858,0.00707,1,0.19159,0.16917,0.33225,3.14524,0.55565,0.000561544,0.000187181,0.000561544,0.000187181,0.000561544,0.000187181,0.000561544,0.000187181
42,432.283,0.85188,4.06151,1.23095,0.00697,1,0.27946,0.23904,0.32913,3.1397,0.55469,0.000520635,0.000173545,0.000520635,0.000173545,0.000520635,0.000173545,0.000520635,0.000173545
43,441.214,0.45866,3.83525,1.07972,0.00697,1,0.27946,0.23904,0.32913,3.1397,0.55469,0.000477086,0.000159029,0.000477086,0.000159029,0.000477086,0.000159029,0.000477086,0.000159029
44,451.444,0.44946,3.9584,0.97242,0.00667,1,0.29541,0.25196,0.33128,3.12547,0.5487,0.000430897,0.000143632,0.000430897,0.000143632,0.000430897,0.000143632,0.000430897,0.000143632
45,460.358,0.26876,3.79556,0.95458,0.00667,1,0.29541,0.25196,0.33128,3.12547,0.5487,0.000382068,0.000127356,0.000382068,0.000127356,0.000382068,0.000127356,0.000382068,0.000127356
46,470.584,0.38688,3.99555,0.99176,0.0066,1,0.29739,0.24913,0.33292,3.10927,0.55123,0.0003306,0.0001102,0.0003306,0.0001102,0.0003306,0.0001102,0.0003306,0.0001102
47,478.974,0.37554,3.85733,0.97559,0.0066,1,0.29739,0.24913,0.33292,3.10927,0.55123,0.000276492,9.21641e-05,0.000276492,9.21641e-05,0.000276492,9.21641e-05,0.000276492,9.21641e-05
48,488.728,0.3979,3.69255,0.88164,0.00642,1,0.26337,0.22363,0.32827,3.09363,0.54732,0.000219745,7.32482e-05,0.000219745,7.32482e-05,0.000219745,7.32482e-05,0.000219745,7.32482e-05
49,497.295,0.41456,3.76858,1.06166,0.00642,1,0.26337,0.22363,0.32827,3.09363,0.54732,0.000160357,5.34524e-05,0.000160357,5.34524e-05,0.000160357,5.34524e-05,0.000160357,5.34524e-05
50,507.196,0.34143,3.95297,0.96838,0.00618,1,0.231,0.19339,0.3314,3.0869,0.5505,9.83302e-05,3.27767e-05,9.83302e-05,3.27767e-05,9.83302e-05,3.27767e-05,9.83302e-05,3.27767e-05
