epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.3364,1.51752,3.83768,1.76791,0.0035,0.96795,0.08837,0.04991,0.93369,3.68756,0.97394,0.00010627,0.00010627,0.00010627
2,176.37,1.30574,3.72059,1.6648,0.00396,0.98333,0.22111,0.10158,1.59,3.84974,1.27484,0.000216935,0.000216935,0.000216935
3,257.741,1.18819,3.56669,1.49508,0.00397,1,0.21089,0.10181,1.10617,3.85594,1.14712,0.000327157,0.000327157,0.000327157
4,336.308,1.08761,3.40768,1.45966,0.0036,1,0.23184,0.08849,1.61588,3.76492,1.42684,0.000436935,0.000436935,0.000436935
5,424.713,1.24244,3.37779,1.5803,0.36659,0.19181,0.16805,0.06766,1.67246,3.55961,1.4919,0.000546269,0.000546269,0.000546269
6,537.946,1.30701,3.23452,1.5908,0.25678,0.04583,0.15655,0.04909,1.65961,3.65149,1.63644,0.000655158,0.000655158,0.000655158
7,663.248,1.30371,3.25272,1.64691,0.32891,0.23289,0.17149,0.09213,1.46437,3.39765,1.33539,0.000763604,0.000763604,0.000763604
8,786.335,1.24085,3.19089,1.54461,0.40479,0.31546,0.28106,0.18299,1.39329,3.45469,1.1838,0.000871606,0.000871606,0.000871606
