epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9034,1.47631,3.34682,1.74948,0.03687,1,0.90756,0.75795,0.21825,3.33256,0.27114,7e-05,7e-05,7e-05
2,97.9778,1.15197,3.25938,1.49747,0.04535,1,0.98973,0.8075,0.40165,3.34226,0.40833,0.000148501,0.000148501,0.000148501
3,139.144,0.89955,3.14058,1.34716,0.04629,1,0.9905,0.804,0.43507,3.34042,0.44189,0.000225405,0.000225405,0.000225405
4,180.535,0.91899,3.01528,1.3429,0.04286,1,0.995,0.82674,0.57003,3.29451,0.49599,0.000300709,0.000300709,0.000300709
5,225.234,0.92567,2.87263,1.3652,0.03483,1,0.99264,0.82454,0.63599,3.20693,0.52596,0.000374416,0.000374416,0.000374416
6,271.582,0.94773,2.60532,1.34496,0.02992,1,0.98097,0.78621,0.61041,3.10272,0.56384,0.000446524,0.000446524,0.000446524
7,323.037,0.92908,2.29429,1.35911,0.02776,1,0.9939,0.81451,0.70713,2.89967,0.62249,0.000517033,0.000517033,0.000517033
8,366.066,1.0671,2.14035,1.43371,0.02556,1,0.92639,0.61341,0.81685,3.03839,0.72991,0.000585944,0.000585944,0.000585944
9,404.501,0.96989,1.8947,1.38075,0.94851,0.64632,0.9531,0.78687,0.65763,2.56312,0.54456,0.000653257,0.000653257,0.000653257
10,446.664,0.93929,1.59744,1.40391,0.96437,0.94978,0.98823,0.82962,0.66181,2.15627,0.51827,0.000718971,0.000718971,0.000718971
11,489.538,1.01677,1.50393,1.43389,0.86828,0.86842,0.93037,0.75159,0.68858,2.28234,0.58633,0.000783087,0.000783087,0.000783087
12,530.098,0.97712,1.32381,1.37749,0.71621,0.88596,0.86998,0.58282,0.77002,2.1949,0.66306,0.000845604,0.000845604,0.000845604
13,569.048,0.91016,1.23714,1.36254,0.83653,0.89474,0.91536,0.71428,0.59134,1.57957,0.53313,0.00088012,0.00088012,0.00088012
14,607.728,1.06861,1.30877,1.48879,0.89252,0.94691,0.95229,0.72541,0.75789,1.29132,0.62865,0.00087013,0.00087013,0.00087013
15,647.224,0.98707,1.17966,1.43174,0.99116,0.9835,0.99483,0.90385,0.53911,0.93848,0.43176,0.00086014,0.00086014,0.00086014
16,687.447,0.89793,1.01309,1.36647,0.94932,0.98581,0.97929,0.91912,0.38877,0.94485,0.31437,0.00085015,0.00085015,0.00085015
17,727.521,0.94605,1.10777,1.42821,0.87211,0.9571,0.95909,0.85439,0.46409,1.21165,0.34032,0.00084016,0.00084016,0.00084016
18,766.797,0.86148,0.93738,1.37816,0.89582,0.98246,0.97503,0.84584,0.59818,1.28526,0.44484,0.00083017,0.00083017,0.00083017
19,805.518,0.874,0.98259,1.37507,0.98267,0.99504,0.995,0.87764,0.72675,1.12289,0.54449,0.00082018,0.00082018,0.00082018
20,844.547,0.9254,0.94836,1.41352,0.98262,0.992,0.99491,0.81706,0.75907,1.06121,0.54772,0.00081019,0.00081019,0.00081019
21,884.004,0.85316,0.90473,1.35508,0.94178,0.99325,0.99335,0.85422,0.62957,0.99373,0.46527,0.0008002,0.0008002,0.0008002
22,923.043,0.89419,0.95603,1.39853,0.94594,0.99123,0.9916,0.85528,0.54862,1.04715,0.42494,0.00079021,0.00079021,0.00079021
23,962.938,0.83067,0.8698,1.35673,0.79854,0.97355,0.9577,0.76604,0.58234,1.27402,0.43429,0.00078022,0.00078022,0.00078022
24,1002.04,0.82419,0.87693,1.35297,0.97514,0.98246,0.98628,0.88044,0.4528,0.74113,0.32684,0.00077023,0.00077023,0.00077023
25,1041.13,0.85161,0.84385,1.36309,0.94198,0.99687,0.95264,0.86036,0.41503,0.82291,0.32435,0.00076024,0.00076024,0.00076024
26,1080.33,0.80093,0.87822,1.32342,0.95766,0.99214,0.98851,0.87581,0.57053,0.77917,0.41307,0.00075025,0.00075025,0.00075025
27,1118.72,0.77958,0.7974,1.29698,0.90933,0.96771,0.97989,0.84394,0.62196,0.79279,0.45266,0.00074026,0.00074026,0.00074026
28,1156.96,0.784,0.81842,1.34648,0.89796,0.92632,0.94935,0.77473,0.65982,0.91534,0.52322,0.00073027,0.00073027,0.00073027
29,1195.59,0.7164,0.77107,1.26539,0.79811,0.90164,0.91019,0.6966,0.62677,0.94638,0.55101,0.00072028,0.00072028,0.00072028
30,1235.13,0.75032,0.77435,1.29647,0.84165,0.90351,0.93827,0.74635,0.57677,0.89124,0.4835,0.00071029,0.00071029,0.00071029
31,1275.91,0.76312,0.77257,1.3238,0.97509,0.99123,0.99438,0.94618,0.31297,0.58105,0.2853,0.0007003,0.0007003,0.0007003
32,1316.05,0.73389,0.75719,1.2773,0.98272,0.99771,0.99288,0.97076,0.21051,0.46107,0.22556,0.00069031,0.00069031,0.00069031
33,1354.81,0.65175,0.74268,1.25121,0.98276,0.99988,0.99482,0.97287,0.21873,0.47909,0.21165,0.00068032,0.00068032,0.00068032
34,1395.74,0.72829,0.77894,1.26437,0.96607,0.99904,0.99216,0.93974,0.33649,0.55679,0.28043,0.00067033,0.00067033,0.00067033
35,1436.47,0.71032,0.70894,1.26135,0.967,0.98246,0.99212,0.8787,0.42696,0.73878,0.35432,0.00066034,0.00066034,0.00066034
36,1474.47,0.74909,0.7423,1.31003,0.94064,0.97301,0.99096,0.89115,0.45556,0.69321,0.38561,0.00065035,0.00065035,0.00065035
