epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,343.328,0.94285,4.94117,1.29805,0.90259,0.76316,0.95269,0.77085,0.07739,10.8799,0.06061,9.91379e-05,9.91379e-05,9.91379e-05
2,700.077,0.95149,3.90913,1.30069,0.7554,0.81579,0.85639,0.68388,0.09389,12.219,0.0834,0.000195159,0.000195159,0.000195159
3,992.591,0.94643,3.61971,1.27236,0.901,0.86842,0.95206,0.71488,0.11937,13.1993,0.09898,0.000287184,0.000287184,0.000287184
4,1284.4,1.0892,3.20723,1.33423,0.87581,0.83333,0.90441,0.68016,0.11322,11.3217,0.11064,0.000375214,0.000375214,0.000375214
