epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,788.131,0.94823,1.21672,1.20779,0.92352,0.875,0.895,0.69677,1.12019,1.69105,0.84967,0.00058042,0.00058042,0.00058042
44,806.022,1.01686,1.26205,1.23894,0.94318,0.86706,0.895,0.72857,1.02595,1.63168,0.8128,0.00057043,0.00057043,0.00057043
45,823.645,0.95613,1.20618,1.19155,0.92954,0.81567,0.895,0.71457,0.9313,1.63917,0.77227,0.00056044,0.00056044,0.00056044
46,841.533,0.98651,1.26538,1.24796,0.89052,0.75,0.85958,0.74803,0.87844,1.78162,0.77352,0.00055045,0.00055045,0.00055045
47,859.147,0.91759,1.20253,1.20138,0.91562,0.83067,0.91167,0.79089,0.83278,1.85012,0.7663,0.00054046,0.00054046,0.00054046
48,876.715,0.8647,1.13806,1.18609,0.89538,0.84232,0.92,0.75194,0.8102,1.87097,0.76243,0.00053047,0.00053047,0.00053047
49,894.274,0.89395,1.16789,1.17031,0.8899,0.83121,0.91167,0.74136,0.81441,1.74947,0.77955,0.00052048,0.00052048,0.00052048
50,912.008,0.94164,1.19289,1.21514,0.8621,0.75,0.85611,0.71098,0.83685,1.51877,0.83641,0.00051049,0.00051049,0.00051049
51,929.589,0.92053,1.17329,1.19439,0.87171,0.74673,0.85611,0.72254,0.82044,1.51668,0.84242,0.0005005,0.0005005,0.0005005
52,947.373,0.8801,1.15666,1.185,0.83645,0.73619,0.85611,0.72352,0.80398,1.47356,0.85904,0.00049051,0.00049051,0.00049051
53,965.046,0.76703,1.02248,1.0926,0.80755,0.72466,0.85611,0.7256,0.80481,1.49943,0.875,0.00048052,0.00048052,0.00048052
54,982.914,0.89766,1.12346,1.18644,0.76944,0.85555,0.85333,0.72128,0.80523,1.56504,0.86533,0.00047053,0.00047053,0.00047053
55,1000.77,0.86169,1.14201,1.12614,0.7906,0.86059,0.85333,0.71727,0.78194,1.62933,0.85192,0.00046054,0.00046054,0.00046054
56,1018.61,0.85112,1.02797,1.12963,0.77965,0.79975,0.85333,0.72584,0.79787,1.64748,0.88101,0.00045055,0.00045055,0.00045055
57,1036.08,0.86706,1.12677,1.16722,0.82892,0.75,0.84917,0.71538,0.82761,1.66649,0.91415,0.00044056,0.00044056,0.00044056
58,1053.95,0.89137,1.1046,1.17726,0.86715,0.75,0.85333,0.74029,0.79798,1.60493,0.87412,0.00043057,0.00043057,0.00043057
59,1071.26,0.78607,0.99633,1.11208,0.89817,0.75,0.82278,0.74068,0.79423,1.56405,0.82002,0.00042058,0.00042058,0.00042058
60,1089.27,0.81244,1.04737,1.13656,0.92111,0.75,0.82278,0.74104,0.77395,1.53196,0.77655,0.00041059,0.00041059,0.00041059
61,1107.23,0.88129,1.06358,1.1736,0.966,0.7788,0.89778,0.80041,0.77027,1.5028,0.74825,0.0004006,0.0004006,0.0004006
62,1125.07,0.81216,1.02109,1.1133,0.93384,0.86779,0.89273,0.78953,0.74147,1.50011,0.72015,0.00039061,0.00039061,0.00039061
63,1142.68,0.82437,1.03713,1.14265,0.95593,0.875,0.88667,0.78792,0.72605,1.4967,0.70809,0.00038062,0.00038062,0.00038062
64,1160.44,0.81344,1.05983,1.12361,0.95427,0.875,0.88471,0.78742,0.73621,1.53667,0.72219,0.00037063,0.00037063,0.00037063
65,1178.06,0.8869,1.11661,1.16853,0.90712,0.875,0.8825,0.77773,0.7474,1.50024,0.70694,0.00036064,0.00036064,0.00036064
66,1195.88,0.8012,0.99278,1.11567,0.9052,0.875,0.88,0.77606,0.73972,1.4362,0.7251,0.00035065,0.00035065,0.00035065
67,1213.48,0.88021,1.08811,1.17801,0.8986,0.875,0.87926,0.77552,0.72721,1.43585,0.72711,0.00034066,0.00034066,0.00034066
68,1231.11,0.81841,1.07315,1.13685,0.88689,0.86555,0.88,0.78773,0.71853,1.44579,0.71362,0.00033067,0.00033067,0.00033067
69,1248.6,0.82228,0.99789,1.14739,0.87805,0.85812,0.88042,0.78816,0.72128,1.43857,0.71576,0.00032068,0.00032068,0.00032068
70,1266.74,0.83554,1.00264,1.15075,0.91209,0.84918,0.88471,0.75488,0.76375,1.4784,0.73093,0.00031069,0.00031069,0.00031069
71,1284.53,0.77817,0.97288,1.11323,0.94812,0.85618,0.88562,0.74699,0.74067,1.52695,0.74234,0.0003007,0.0003007,0.0003007
72,1302.65,0.87778,1.10556,1.14887,0.94734,0.87086,0.88471,0.74826,0.71622,1.59349,0.73655,0.00029071,0.00029071,0.00029071
73,1320.19,0.79415,0.96536,1.1201,0.94585,0.875,0.88316,0.73123,0.70714,1.64159,0.72255,0.00028072,0.00028072,0.00028072
74,1337.95,0.87068,1.07257,1.15848,0.93493,0.8191,0.8761,0.7184,0.77586,1.59008,0.74782,0.00027073,0.00027073,0.00027073
75,1357.28,0.90538,1.04094,1.19795,0.87302,0.8552,0.87581,0.72074,0.81121,1.54968,0.73672,0.00026074,0.00026074,0.00026074
76,1374.99,0.83338,0.99554,1.14143,0.94655,0.75,0.83458,0.70927,0.83434,1.55744,0.69298,0.00025075,0.00025075,0.00025075
77,1393.09,0.79386,0.98084,1.10929,0.95727,0.76922,0.87833,0.72988,0.85093,1.56677,0.69356,0.00024076,0.00024076,0.00024076
78,1411.18,0.84286,1.08456,1.16919,0.95784,0.77023,0.87962,0.72453,0.86471,1.60776,0.68477,0.00023077,0.00023077,0.00023077
79,1428.73,0.72083,0.92851,1.08095,0.95856,0.78009,0.88471,0.72044,0.84604,1.63802,0.68667,0.00022078,0.00022078,0.00022078
80,1446.6,0.82623,0.97335,1.13019,0.95734,0.79082,0.89083,0.72366,0.82137,1.67909,0.68561,0.00021079,0.00021079,0.00021079
81,1464.22,0.82183,0.95434,1.14575,0.94983,0.81132,0.89083,0.72448,0.80607,1.6927,0.6923,0.0002008,0.0002008,0.0002008
