epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,315.572,0.53547,3.13187,1.03933,0.00713,1,0.51965,0.34557,0.27669,3.16554,0.50647,0.00177828,0.00059276,0.00177828,0.00059276,0.00177828,0.00059276,0.00177828,0.00059276
31,324.889,0.46002,3.06678,0.8933,0.00713,1,0.51965,0.34557,0.27669,3.16554,0.50647,0.00183185,0.000610617,0.00183185,0.000610617,0.00183185,0.000610617,0.00183185,0.000610617
32,335.431,1.03913,3.43329,1.38943,0.00703,1,0.52965,0.38196,0.27965,3.15144,0.5054,0.00188498,0.000628327,0.00188498,0.000628327,0.00188498,0.000628327,0.00188498,0.000628327
33,345.874,0.49398,3.03023,0.91577,0.00691,1,0.64284,0.52083,0.27916,3.13356,0.50529,0.00193767,0.000645891,0.00193767,0.000645891,0.00193767,0.000645891,0.00193767,0.000645891
34,355.177,0.35921,3.00552,0.98597,0.00691,1,0.64284,0.52083,0.27916,3.13356,0.50529,0.00198992,0.000663308,0.00198992,0.000663308,0.00198992,0.000663308,0.00198992,0.000663308
35,366.361,0.35462,3.04226,0.89482,0.0069,1,0.64769,0.54091,0.27832,3.11268,0.50687,0.00204174,0.000680579,0.00204174,0.000680579,0.00204174,0.000680579,0.00204174,0.000680579
36,376.97,0.31166,2.95155,0.90081,0.00677,1,0.66528,0.57119,0.28381,3.08554,0.50677,0.00209311,0.000697702,0.00209311,0.000697702,0.00209311,0.000697702,0.00209311,0.000697702
37,386.308,0.29184,3.07301,0.93578,0.00677,1,0.66528,0.57119,0.28381,3.08554,0.50677,0.00214404,0.00071468,0.00214404,0.00071468,0.00214404,0.00071468,0.00214404,0.00071468
38,396.917,0.2543,3.12037,0.94902,0.0068,1,0.67897,0.6025,0.28761,3.05091,0.49864,0.00219453,0.00073151,0.00219453,0.00073151,0.00219453,0.00073151,0.00219453,0.00073151
39,407.143,0.27441,2.91923,0.91369,0.00695,1,0.62258,0.57127,0.2989,3.00658,0.4908,0.00224458,0.000748194,0.00224458,0.000748194,0.00224458,0.000748194,0.00224458,0.000748194
40,415.767,0.47622,3.14411,0.98043,0.00695,1,0.62258,0.57127,0.2989,3.00658,0.4908,0.00229419,0.000764731,0.00229419,0.000764731,0.00229419,0.000764731,0.00229419,0.000764731
41,425.647,0.40056,2.89743,0.89837,0.00666,1,0.69485,0.62908,0.31189,2.95065,0.49147,0.00234337,0.000781122,0.00234337,0.000781122,0.00234337,0.000781122,0.00234337,0.000781122
42,436.322,0.28723,2.75339,0.89861,0.00657,1,0.70513,0.66247,0.28764,2.8887,0.48542,0.0023921,0.000797366,0.0023921,0.000797366,0.0023921,0.000797366,0.0023921,0.000797366
43,445.763,0.25932,2.72263,0.81879,0.00657,1,0.70513,0.66247,0.28764,2.8887,0.48542,0.00244039,0.000813463,0.00244039,0.000813463,0.00244039,0.000813463,0.00244039,0.000813463
44,456.285,0.30008,2.844,0.87167,0.91552,0.2,0.5395,0.50747,0.28664,2.8252,0.48606,0.00248824,0.000829414,0.00248824,0.000829414,0.00248824,0.000829414,0.00248824,0.000829414
45,465.41,0.27022,2.90099,0.99032,0.91552,0.2,0.5395,0.50747,0.28664,2.8252,0.48606,0.00253565,0.000845218,0.00253565,0.000845218,0.00253565,0.000845218,0.00253565,0.000845218
46,476.59,0.3005,2.67772,0.86449,0.99507,0.2,0.54904,0.51974,0.28654,2.73319,0.48873,0.00258263,0.000860875,0.00258263,0.000860875,0.00258263,0.000860875,0.00258263,0.000860875
47,487.532,0.27716,2.69432,0.8536,0.99507,0.2,0.54904,0.51974,0.28654,2.73319,0.48873,0.00262916,0.000876386,0.00262916,0.000876386,0.00262916,0.000876386,0.00262916,0.000876386
48,498.627,0.2683,2.93092,0.88975,0.90466,0.2,0.58492,0.5564,0.2768,2.63428,0.48453,0.00267525,0.00089175,0.00267525,0.00089175,0.00267525,0.00089175,0.00267525,0.00089175
49,508.686,0.23851,2.73409,0.93883,0.90466,0.2,0.58492,0.5564,0.2768,2.63428,0.48453,0.0027209,0.000906967,0.0027209,0.000906967,0.0027209,0.000906967,0.0027209,0.000906967
50,518.83,0.60111,2.82155,1.14385,1,0.18861,0.49778,0.48137,0.26983,2.53445,0.47378,0.00276611,0.000922038,0.00276611,0.000922038,0.00276611,0.000922038,0.00276611,0.000922038
51,528.128,0.64008,3.59482,1.07298,1,0.18861,0.49778,0.48137,0.26983,2.53445,0.47378,0.00278306,0.000927685,0.00278306,0.000927685,0.00278306,0.000927685,0.00278306,0.000927685
52,538.835,0.31948,2.56221,0.93088,0.79625,0.39594,0.51015,0.49784,0.27803,2.41738,0.46944,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019
53,548.512,0.30436,2.62398,0.85415,0.79625,0.39594,0.51015,0.49784,0.27803,2.41738,0.46944,0.00276106,0.000920352,0.00276106,0.000920352,0.00276106,0.000920352,0.00276106,0.000920352
