epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.6581,1.85255,3.60592,1.95571,0.00731,1,0.29254,0.12336,0.43678,3.22214,0.61505,0.00013332,4.444e-05,0.00013332,4.444e-05,0.00013332,4.444e-05,0.00013332,4.444e-05
2,18.0975,1.69163,3.40466,1.77742,0.00745,1,0.2532,0.11808,0.40144,3.21923,0.6088,0.000299371,9.97902e-05,0.000299371,9.97902e-05,0.000299371,9.97902e-05,0.000299371,9.97902e-05
3,23.974,1.74324,3.48125,1.82689,0.00737,1,0.2743,0.10843,0.40396,3.22019,0.62543,0.000464755,0.000154918,0.000464755,0.000154918,0.000464755,0.000154918,0.000464755,0.000154918
4,30.806,2.08417,3.67713,2.15,0.00696,1,0.21047,0.08481,0.47173,3.22605,0.68886,0.000629474,0.000209825,0.000629474,0.000209825,0.000629474,0.000209825,0.000629474,0.000209825
5,36.3686,1.91627,3.43418,2.055,0.00663,1,0.22946,0.10014,0.50967,3.22721,0.724,0.000793527,0.000264509,0.000793527,0.000264509,0.000793527,0.000264509,0.000793527,0.000264509
6,41.9773,1.86546,3.69313,2.07379,0.00648,1,0.30299,0.13431,0.55568,3.23349,0.75033,0.000956914,0.000318971,0.000956914,0.000318971,0.000956914,0.000318971,0.000956914,0.000318971
7,48.7499,1.4299,3.41024,1.5712,0.00651,1,0.35077,0.14843,0.61469,3.23472,0.77364,0.00111963,0.000373212,0.00111963,0.000373212,0.00111963,0.000373212,0.00111963,0.000373212
8,54.9277,1.48585,3.37944,1.62384,0.00651,1,0.35077,0.14843,0.61469,3.23472,0.77364,0.00128169,0.00042723,0.00128169,0.00042723,0.00128169,0.00042723,0.00128169,0.00042723
9,61.2232,1.51526,3.62081,1.90496,0.00665,1,0.33663,0.12977,0.6772,3.23579,0.81393,0.00144308,0.000481026,0.00144308,0.000481026,0.00144308,0.000481026,0.00144308,0.000481026
10,67.1659,1.68938,3.57611,1.99831,0.00658,1,0.23256,0.11594,0.73085,3.23733,0.83348,0.0016038,0.000534601,0.0016038,0.000534601,0.0016038,0.000534601,0.0016038,0.000534601
11,72.7396,1.56983,3.35329,1.79207,0.00658,1,0.23256,0.11594,0.73085,3.23733,0.83348,0.00176386,0.000587953,0.00176386,0.000587953,0.00176386,0.000587953,0.00176386,0.000587953
12,78.5299,1.66847,3.84082,1.82397,0.00646,1,0.24061,0.13298,0.73515,3.23299,0.84192,0.00192325,0.000641084,0.00192325,0.000641084,0.00192325,0.000641084,0.00192325,0.000641084
13,83.1668,1.35568,3.35919,1.63584,0.00646,1,0.24061,0.13298,0.73515,3.23299,0.84192,0.00208198,0.000693992,0.00208198,0.000693992,0.00208198,0.000693992,0.00208198,0.000693992
14,87.9287,1.41766,3.40165,1.77883,0.00646,1,0.24061,0.13298,0.73515,3.23299,0.84192,0.00224004,0.000746679,0.00224004,0.000746679,0.00224004,0.000746679,0.00224004,0.000746679
15,93.9093,1.09874,3.31902,1.44269,0.00684,1,0.1643,0.09988,0.72962,3.22227,0.7906,0.00239743,0.000799143,0.00239743,0.000799143,0.00239743,0.000799143,0.00239743,0.000799143
16,99.17,1.11924,3.30507,1.39658,0.00684,1,0.1643,0.09988,0.72962,3.22227,0.7906,0.00255416,0.000851386,0.00255416,0.000851386,0.00255416,0.000851386,0.00255416,0.000851386
17,103.848,1.48599,3.35221,1.79427,0.00684,1,0.1643,0.09988,0.72962,3.22227,0.7906,0.00271022,0.000903406,0.00271022,0.000903406,0.00271022,0.000903406,0.00271022,0.000903406
18,109.817,1.28033,3.40511,1.58837,0.0072,1,0.11661,0.08051,0.84543,3.22601,0.77151,0.00286561,0.000955205,0.00286561,0.000955205,0.00286561,0.000955205,0.00286561,0.000955205
19,114.769,1.01292,3.44783,1.35272,0.0072,1,0.11661,0.08051,0.84543,3.22601,0.77151,0.00302034,0.00100678,0.00302034,0.00100678,0.00302034,0.00100678,0.00302034,0.00100678
20,120.104,1.31646,3.31663,1.70991,0.0072,1,0.11661,0.08051,0.84543,3.22601,0.77151,0.00317441,0.00105814,0.00317441,0.00105814,0.00317441,0.00105814,0.00317441,0.00105814
21,126.16,1.25483,3.33602,1.56057,0.00648,1,0.16101,0.10358,1.01294,3.24067,0.91656,0.00319981,0.0010666,0.00319981,0.0010666,0.00319981,0.0010666,0.00319981,0.0010666
22,131.167,1.27939,3.32267,1.59042,0.00648,1,0.16101,0.10358,1.01294,3.24067,0.91656,0.00319315,0.00106438,0.00319315,0.00106438,0.00319315,0.00106438,0.00319315,0.00106438
23,136.394,1.15116,3.34119,1.42012,0.00648,1,0.16101,0.10358,1.01294,3.24067,0.91656,0.00318649,0.00106216,0.00318649,0.00106216,0.00318649,0.00106216,0.00318649,0.00106216
24,142.518,1.14945,3.28308,1.48363,0.00582,1,0.18438,0.10936,1.01119,3.21632,0.88466,0.00317984,0.00105995,0.00317984,0.00105995,0.00317984,0.00105995,0.00317984,0.00105995
25,147.737,1.27552,3.21959,1.65457,0.00582,1,0.18438,0.10936,1.01119,3.21632,0.88466,0.00317318,0.00105773,0.00317318,0.00105773,0.00317318,0.00105773,0.00317318,0.00105773
26,152.906,1.16951,3.21855,1.50789,0.00582,1,0.18438,0.10936,1.01119,3.21632,0.88466,0.00316652,0.00105551,0.00316652,0.00105551,0.00316652,0.00105551,0.00316652,0.00105551
27,159.306,0.98465,3.25348,1.28297,0.00523,1,0.14238,0.09054,1.04053,3.21096,0.8895,0.00315986,0.00105329,0.00315986,0.00105329,0.00315986,0.00105329,0.00315986,0.00105329
28,164.151,1.11037,3.22813,1.38065,0.00523,1,0.14238,0.09054,1.04053,3.21096,0.8895,0.0031532,0.00105107,0.0031532,0.00105107,0.0031532,0.00105107,0.0031532,0.00105107
29,169.072,1.08069,3.15728,1.34731,0.00523,1,0.14238,0.09054,1.04053,3.21096,0.8895,0.00314654,0.00104885,0.00314654,0.00104885,0.00314654,0.00104885,0.00314654,0.00104885
30,175.89,1.16273,3.24255,1.48999,0.00474,1,0.15193,0.09865,1.07418,3.19213,0.89587,0.00313988,0.00104663,0.00313988,0.00104663,0.00313988,0.00104663,0.00313988,0.00104663
31,180.574,1.20111,3.24867,1.58406,0.00474,1,0.15193,0.09865,1.07418,3.19213,0.89587,0.00313322,0.00104441,0.00313322,0.00104441,0.00313322,0.00104441,0.00313322,0.00104441
32,185.418,1.15637,3.2002,1.55087,0.00474,1,0.15193,0.09865,1.07418,3.19213,0.89587,0.00312656,0.00104219,0.00312656,0.00104219,0.00312656,0.00104219,0.00312656,0.00104219
33,190.481,0.97615,3.1987,1.31976,0.00474,1,0.15193,0.09865,1.07418,3.19213,0.89587,0.0031199,0.00103997,0.0031199,0.00103997,0.0031199,0.00103997,0.0031199,0.00103997
